,Trial_num,image_path,ground_truth,image_name,demos.thisRepN,demos.thisTrialN,demos.thisN,demos.thisIndex,block_1.thisRepN,block_1.thisTrialN,block_1.thisN,block_1.thisIndex,block_2.thisRepN,block_2.thisTrialN,block_2.thisN,block_2.thisIndex,text_3.started,text_3.stopped,Task.started,Task.stopped,text_10.started,text_10.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,image_2.started,image_2.stopped,text_5.started,text_5.stopped,image_3.started,image_3.stopped,text_6.started,text_6.stopped,translucency.started,translucency.stopped,see_throughness.started,see_throughness.stopped,glow.started,glow.stopped,key_resp_10.keys,key_resp_10.rt,key_resp_10.started,key_resp_10.stopped,instruction.started,instruction.stopped,text_12.started,text_12.stopped,Trial_number.started,Trial_number.stopped,image.started,image.stopped,Instruction.started,Instruction.stopped,translucency_score.response,translucency_score.rt,translucency_score.started,translucency_score.stopped,Translucency.started,Translucency.stopped,seethroughness_score.response,seethroughness_score.rt,seethroughness_score.started,seethroughness_score.stopped,SeeThroughness.started,SeeThroughness.stopped,glow_score.response,glow_score.rt,glow_score.started,glow_score.stopped,Glow.started,Glow.stopped,to_next.keys,to_next.rt,to_next.started,to_next.stopped,grading_label_left.started,grading_label_left.stopped,grading_label_right.started,grading_label_right.stopped,instruct1.started,instruct1.stopped,instruct2.started,instruct2.stopped,text_4.started,text_4.stopped,text_2.started,text_2.stopped,session,date,expName,psychopyVersion,frameRate
0,,,,,,,,,,,,,,,,,48.77505218,None,63.2056754,None,63.9890318,None,space,1.751446337,68.95716735,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2022_Apr_07_1050,SAR-soap,2021.1.2,60.1561336
1,,,,,,,,,,,,,,,,,,,,,,,,,,,71.20849685,None,71.20849685,None,72.8918482,None,72.8918482,None,76.12758415,None,76.12758415,None,76.12758415,None,space,0.98105225,76.12758415,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2022_Apr_07_1050,SAR-soap,2021.1.2,60.1561336
2,Demo 1,demo/Demo_IMG_0974.jpg,demo,Demo_IMG_0974.jpg,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.12758415,None,77.1276778,None,78.71051075,None,78.71051075,None,78.71051075,None,4.0,46.54495578,78.71051075,None,78.71051075,None,3.0,47.50245182,124.7914336,None,78.71051075,None,3.0,48.17451514,125.758671,None,78.71051075,None,space,0.907942297,48.20204263,None,78.71051075,None,78.71051075,None,,,,,,,,,1,2022_Apr_07_1050,SAR-soap,2021.1.2,60.1561336
3,Demo 2,demo/Demo_IMG_1024.jpg,demo,Demo_IMG_1024.jpg,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.9097154,None,127.9097154,None,127.9097154,None,1.0,1.320490646,127.9097154,None,127.9097154,None,1.0,1.810096748,128.793116,None,127.9097154,None,1.0,2.614887004,129.2932532,None,127.9097154,None,space,0.143387006,2.65112349,None,127.9097154,None,127.9097154,None,,,,,,,,,1,2022_Apr_07_1050,SAR-soap,2021.1.2,60.1561336
4,Demo 3,demo/Demo_seed_80003.png,demo,Demo_seed_80003.png,0.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.811223,None,130.811223,None,130.811223,None,4.0,1.000821357,130.811223,None,130.811223,None,3.0,1.456494813,131.3616559,None,130.811223,None,4.0,1.996857649,131.8281922,None,130.811223,None,space,0.221337788,2.026764285,None,130.811223,None,130.811223,None,,,,,,,,,1,2022_Apr_07_1050,SAR-soap,2021.1.2,60.1561336
5,Trial # 1,Group1-stimuli/group1-block1/real-group1-b1/Group1_IMG_0022.jpg,1,Group1_IMG_0022.jpg,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146.314828,None,146.314828,None,146.314828,None,2.0,1.267721181,146.314828,None,146.314828,None,1.0,1.789935573,147.1322477,None,146.314828,None,2.0,2.328377961,147.665877,None,146.314828,None,space,0.174963818,2.359324769,None,146.314828,None,146.314828,None,133.0617838,None,133.0617838,None,133.0617838,None,,,1,2022_Apr_07_1050,SAR-soap,2021.1.2,60.1561336
6,Trial # 2,Group1-stimuli/group1-block1/fake-group2-b1/encoded_Group2_IMG_0386.jpg,0,encoded_Group2_IMG_0386.jpg,,,,,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148.9159765,None,148.9159765,None,148.9159765,None,3.0,0.858524353,148.9159765,None,148.9159765,None,2.0,1.281300146,149.31604,None,148.9159765,None,2.0,1.887052834,149.7488575,None,148.9159765,None,space,0.183611893,1.909511625,None,148.9159765,None,148.9159765,None,,,,,,,,,1,2022_Apr_07_1050,SAR-soap,2021.1.2,60.1561336
7,Trial # 3,Group1-stimuli/group1-block1/real-group1-b1/Group1_IMG_9704.jpg,1,Group1_IMG_9704.jpg,,,,,0.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.0499603,None,151.0499603,None,151.0499603,None,1.0,0.72517786,151.0499603,None,151.0499603,None,1.0,1.215479351,151.3177809,None,151.0499603,None,1.0,1.820834641,151.8164713,None,151.0499603,None,space,0.084448008,1.84186047,None,151.0499603,None,151.0499603,None,,,,,,,,,1,2022_Apr_07_1050,SAR-soap,2021.1.2,60.1561336
8,Trial # 4,Group1-stimuli/group1-block1/real-group1-b1/Group1_IMG_0406.jpg,1,Group1_IMG_0406.jpg,,,,,0.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.0164704,None,153.0164704,None,153.0164704,None,2.0,1.030534068,153.0164704,None,153.0164704,None,1.0,1.55266301,153.6006991,None,153.0164704,None,2.0,2.257838072,154.1344203,None,153.0164704,None,space,0.147931119,2.286294106,None,153.0164704,None,153.0164704,None,,,,,,,,,1,2022_Apr_07_1050,SAR-soap,2021.1.2,60.1561336
9,Trial # 5,Group1-stimuli/group1-block1/fake-group2-b1/encoded_Group2_IMG_0364.jpg,0,encoded_Group2_IMG_0364.jpg,,,,,0.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.5018265,None,155.5018265,None,155.5018265,None,1.0,0.645053581,155.5018265,None,155.5018265,None,1.0,1.068462902,155.6852596,None,155.5018265,None,1.0,1.474216242,156.1190498,None,155.5018265,None,space,0.17551448,1.499093856,None,155.5018265,None,155.5018265,None,,,,,,,,,1,2022_Apr_07_1050,SAR-soap,2021.1.2,60.1561336
